State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,Method Code,Method Name,CBSA Name,Date of Last Change
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-01,ppb,None,24,100.0,1.308333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-02,ppb,None,24,100.0,1.954167,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-03,ppb,None,10,42.0,1.53,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-04,ppb,None,9,38.0,5.455556,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-05,ppb,None,16,67.0,16.49375,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-06,ppb,None,24,100.0,9.204167,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-07,ppb,None,24,100.0,5.8625,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-08,ppb,None,24,100.0,8.7,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-09,ppb,None,24,100.0,4.375,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-10,ppb,None,10,42.0,2.05,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-11,ppb,None,16,67.0,10.04375,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-12,ppb,None,24,100.0,20.316667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-13,ppb,None,24,100.0,17.954167,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-14,ppb,None,19,79.0,19.115789,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-15,ppb,None,24,100.0,12.9,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-16,ppb,None,24,100.0,2.658333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-17,ppb,None,24,100.0,8.391667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
